,failing_score,passing_score,#failing,#passing,#TTLfailing,#TTLpassing
com/google/javascript/jscomp/JsAst:getAstRoot(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/rhino/Node;,0.07519731,0.87443609,1.00000000,6267.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/CodeGenerator:add(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/CodeGenerator$Context;)V,0.39620434,0.52209614,1.00000000,3659.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/BasicErrorManager:getErrorCount()I,0.05941794,0.87729075,1.00000000,6291.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/DefaultPassConfig$88:<init>(Lcom/google/javascript/jscomp/DefaultPassConfig;Ljava/lang/String;Z)V,0.14590670,0.05477082,1.00000000,388.00000000,4.00000000,7446.00000000
com/google/javascript/rhino/Node:addChildToBack(Lcom/google/javascript/rhino/Node;)V,0.20929174,0.98822351,4.00000000,7065.00000000,4.00000000,7446.00000000
com/google/javascript/rhino/JSDocInfo:getFlag(I)Z,0.10336945,0.50857605,1.00000000,3640.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/DefaultPassConfig:assertAllOneTimePasses(Ljava/util/List;)V,0.06557433,0.04969573,1.00000000,354.00000000,4.00000000,7446.00000000
com/google/javascript/rhino/IR:mayBeStatement(Lcom/google/javascript/rhino/Node;)Z,0.09762808,0.53759183,1.00000000,3847.00000000,4.00000000,7446.00000000
com/google/javascript/rhino/IR:block([Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node;,0.09394018,0.53671577,1.00000000,3838.00000000,4.00000000,7446.00000000
com/google/javascript/rhino/jstype/SimpleSourceFile:<init>(Ljava/lang/String;Z)V,0.09607868,0.06775122,3.00000000,483.00000000,4.00000000,7446.00000000
com/google/javascript/rhino/JSDocInfo:setNoSideEffects(Z)V,0.06077933,0.07170195,1.00000000,512.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/Denormalize:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;)V,0.05523061,0.03240899,1.00000000,231.00000000,4.00000000,7446.00000000
com/google/javascript/rhino/Node$StringNode:getString()Ljava/lang/String;,0.32616115,0.90328336,1.00000000,6422.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/CodePrinter$Builder:setTagAsStrict(Z)Lcom/google/javascript/jscomp/CodePrinter$Builder;,0.05719857,0.49248073,1.00000000,3529.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/CodePrinter$Builder:setLineBreak(Z)Lcom/google/javascript/jscomp/CodePrinter$Builder;,0.05719857,0.50238238,1.00000000,3600.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/DefaultPassConfig$81:<init>(Lcom/google/javascript/jscomp/DefaultPassConfig;Ljava/lang/String;Z)V,0.14590670,0.05477082,1.00000000,388.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/CheckLevel:isOn()Z,0.07437584,0.88805924,1.00000000,6362.00000000,4.00000000,7446.00000000
com/google/javascript/rhino/jstype/JSTypeRegistry:createArrowType(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/jstype/ArrowType;,0.17584018,0.91347878,4.00000000,6549.00000000,4.00000000,7446.00000000
com/google/javascript/rhino/JSDocInfo:isConsistentIdGenerator()Z,0.06865631,0.00803844,1.00000000,56.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/AstValidator:validateHasSourceName(Lcom/google/javascript/rhino/Node;)V,0.06625271,0.50396848,1.00000000,3608.00000000,4.00000000,7446.00000000
com/google/javascript/rhino/Node:createProp(ILjava/lang/Object;Lcom/google/javascript/rhino/Node$PropListItem;)Lcom/google/javascript/rhino/Node$PropListItem;,0.15784859,0.94490333,4.00000000,6774.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/Tracer$ThreadTrace:isInitialized()Z,0.06020358,0.53795391,1.00000000,3852.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/NodeTraversal:getCompiler()Lcom/google/javascript/jscomp/Compiler;,0.07877784,0.12918437,1.00000000,924.00000000,4.00000000,7446.00000000
com/google/javascript/rhino/JSDocInfoBuilder:<init>(Z)V,0.15691257,0.51119965,4.00000000,3669.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/AstValidator:validateExprStmt(Lcom/google/javascript/rhino/Node;)V,0.11408635,0.44861346,1.00000000,3207.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/DefaultPassConfig:runInSerial(Ljava/util/Collection;)Lcom/google/javascript/jscomp/CompilerPass;,0.05875681,0.04758611,1.00000000,339.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/parsing/IRFactory$TransformDispatcher:validAssignmentTarget(Lcom/google/javascript/rhino/Node;)Z,0.08565747,0.61631219,1.00000000,4419.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/parsing/IRFactory:createTemplateNode()Lcom/google/javascript/rhino/Node;,0.08131461,0.89202469,1.00000000,6393.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/JsAst:<init>(Lcom/google/javascript/jscomp/SourceFile;)V,0.07058986,0.87659209,1.00000000,6281.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/MakeDeclaredNamesUnique$ContextualRenameInverter:enterScope(Lcom/google/javascript/jscomp/NodeTraversal;)V,0.06263650,0.03085169,1.00000000,215.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/parsing/JsDocInfoParser:lookAheadForTypeAnnotation()Z,0.10049318,0.35811939,1.00000000,2569.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/MakeDeclaredNamesUnique:<init>()V,0.07467221,0.23076935,1.00000000,1653.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/DefaultPassConfig$10:<init>(Lcom/google/javascript/jscomp/DefaultPassConfig;Ljava/lang/String;Z)V,0.11432961,0.05446388,1.00000000,388.00000000,4.00000000,7446.00000000
com/google/javascript/jscomp/AbstractCompiler:setLifeCycleStage(Lcom/google/javascript/jscomp/AbstractCompiler$LifeCycleStage;)V,0.07889351,0.22726141,1.00000000,1629.00000000,4.00000000,7446.00000000
