,failing_score,passing_score,#failing,#passing,#TTLfailing,#TTLpassing
com/google/javascript/jscomp/JsAst:getAstRoot(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/rhino/Node;,0.11603700,0.87016423,3.00000000,6580.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/TypeValidator:mismatch(Ljava/lang/String;Lcom/google/javascript/rhino/Node;Ljava/lang/String;Lcom/google/javascript/rhino/jstype/JSType;Lcom/google/javascript/rhino/jstype/JSType;)V,0.05337739,0.08910828,1.00000000,675.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/TypedScopeCreator$AbstractScopeBuilder:attachLiteralTypes(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;)V,0.17125480,0.36072384,3.00000000,2725.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/JSDocInfo:getFlag(I)Z,0.17099154,0.52108977,4.00000000,3933.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/Scope$Var:markAssignedExactlyOnce()V,0.10638000,0.30000155,3.00000000,2276.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/jstype/SimpleSourceFile:<init>(Ljava/lang/String;Z)V,0.03063037,0.06739016,1.00000000,510.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/parsing/IRFactory:newStringNode(ILjava/lang/String;)Lcom/google/javascript/rhino/Node;,0.11428466,0.88045168,3.00000000,6658.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/BasicErrorManager:getErrorCount()I,0.10391528,0.87357940,3.00000000,6610.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/LinkedFlowScope$FlowScopeJoinOp:<init>()V,0.11023347,0.36021120,3.00000000,2731.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/jstype/JSTypeRegistry:createArrowType(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/jstype/ArrowType;,0.14877658,0.86289140,4.00000000,6530.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/graph/LinkedDirectedGraph$LinkedDirectedGraphNode:getValue()Ljava/lang/Object;,0.12414003,0.47311347,3.00000000,3578.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/Node:createProp(ILjava/lang/Object;Lcom/google/javascript/rhino/Node$PropListItem;)Lcom/google/javascript/rhino/Node$PropListItem;,0.14164054,0.94067204,4.00000000,7116.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/Compiler:parseTestCode(Ljava/lang/String;)Lcom/google/javascript/rhino/Node;,0.12524659,0.10607512,3.00000000,788.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/JSDocInfoBuilder:<init>(Z)V,0.14184329,0.52342684,4.00000000,3965.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/Node:setOptionalArg(Z)V,0.15333489,0.86319403,4.00000000,6530.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/JsAst:<init>(Lcom/google/javascript/jscomp/SourceFile;)V,0.11391660,0.87221629,3.00000000,6594.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/TypeValidator:setShouldReport(Z)V,0.10651820,0.32471248,3.00000000,2463.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/Node:isScript()Z,0.16522126,0.87655767,3.00000000,6616.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/InferJSDocInfo:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V,0.31699033,0.33308453,2.00000000,2484.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/NodeTraversal:popScope()V,0.12841770,0.87306321,3.00000000,6598.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/jstype/ObjectType:visit(Lcom/google/javascript/rhino/jstype/RelationshipVisitor;Lcom/google/javascript/rhino/jstype/JSType;)Ljava/lang/Object;,0.04907948,0.00874728,1.00000000,65.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/jstype/FunctionType:setPrototypeNoCheck(Lcom/google/javascript/rhino/jstype/ObjectType;Lcom/google/javascript/rhino/Node;)Z,0.24408059,0.86674426,4.00000000,6530.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/Node:getFirstChild()Lcom/google/javascript/rhino/Node;,1.00000000,0.95877950,3.00000000,7101.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/jstype/VoidType:getDisplayName()Ljava/lang/String;,0.13604971,0.86252952,4.00000000,6530.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/CodingConvention$AssertionFunctionSpec:<init>(Ljava/lang/String;)V,0.10860533,0.34892443,3.00000000,2645.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/DataFlowAnalysis$BranchedForwardDataFlowAnalysis:joinInputs(Lcom/google/javascript/jscomp/graph/DiGraph$DiGraphNode;)V,0.13554769,0.36055125,3.00000000,2726.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/JSDocInfo:getSuppressions()Ljava/util/Set;,0.10877196,0.08056508,3.00000000,609.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/jstype/FunctionType:getMaxArguments()I,0.14292112,0.15273487,3.00000000,1150.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/DiagnosticGroups:<init>()V,0.10399201,0.88299442,3.00000000,6681.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/jstype/FunctionType:setInstanceType(Lcom/google/javascript/rhino/jstype/ObjectType;)V,0.14964158,0.86289184,4.00000000,6530.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/TypeCheck:check(Lcom/google/javascript/rhino/Node;Z)V,0.11718394,0.32667101,3.00000000,2473.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/parsing/IRFactory:access$1400(Lcom/google/javascript/jscomp/parsing/IRFactory;I)I,0.12160413,0.80554401,3.00000000,6092.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/Compiler:acceptConstKeyword()Z,0.10449314,0.86941118,3.00000000,6580.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/JSDocInfo:getType()Lcom/google/javascript/rhino/JSTypeExpression;,0.12127596,0.30534160,1.00000000,2311.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/jstype/JSType$1:compare(Lcom/google/javascript/rhino/jstype/JSType;Lcom/google/javascript/rhino/jstype/JSType;)I,0.04290289,0.04160520,1.00000000,312.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/Compiler:addChangeHandler(Lcom/google/javascript/jscomp/CodeChangeHandler;)V,0.10481309,0.88515613,3.00000000,6695.00000000,4.00000000,7843.00000000
com/google/javascript/jscomp/TypeInference:getNativeType(Lcom/google/javascript/rhino/jstype/JSTypeNative;)Lcom/google/javascript/rhino/jstype/JSType;,0.14053896,0.17471304,2.00000000,1317.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/jstype/NamedType:resolveViaRegistry(Lcom/google/javascript/rhino/ErrorReporter;Lcom/google/javascript/rhino/jstype/StaticScope;)Z,0.11668094,0.04428351,3.00000000,332.00000000,4.00000000,7843.00000000
com/google/javascript/rhino/jstype/VoidType:<init>(Lcom/google/javascript/rhino/jstype/JSTypeRegistry;)V,0.14924871,0.86289184,4.00000000,6530.00000000,4.00000000,7843.00000000
