,failing_score,passing_score,#failing,#passing,#TTLfailing,#TTLpassing
com/google/javascript/jscomp/JsAst:getAstRoot(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/rhino/Node;,0.10174875,0.87157794,1.00000000,6527.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/CodeGenerator:add(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/CodeGenerator$Context;)V,1.00000000,0.52014745,1.00000000,3795.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/SourceFile:isExtern()Z,0.08434874,0.39910939,1.00000000,2995.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/parsing/IRFactory$TransformDispatcher:processObjectLiteral(Lcom/google/javascript/rhino/head/ast/ObjectLiteral;)Lcom/google/javascript/rhino/Node;,0.18501633,0.24588184,1.00000000,1822.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/BasicErrorManager:getErrorCount()I,0.08406313,0.87503124,1.00000000,6557.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/NodeTraversal:traverseRoots([Lcom/google/javascript/rhino/Node;)V,0.11317679,0.24539713,1.00000000,1834.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/MakeDeclaredNamesUnique:findDeclaredNames(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/MakeDeclaredNamesUnique$Renamer;)V,0.30649122,0.25018281,1.00000000,1856.00000000,1.00000000,7769.00000000
com/google/javascript/rhino/IR:block([Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node;,0.11424561,0.53825791,1.00000000,4021.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/MakeDeclaredNamesUnique$ContextualRenamer:incrementNameCount(Ljava/lang/String;)I,0.08625782,0.14610902,1.00000000,1093.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/parsing/IRFactory:newStringNode(ILjava/lang/String;)Lcom/google/javascript/rhino/Node;,0.09693083,0.88223339,1.00000000,6607.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/CodePrinter$Builder:setTagAsStrict(Z)Lcom/google/javascript/jscomp/CodePrinter$Builder;,0.08564159,0.48942564,1.00000000,3664.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/ReferenceCollectingCallback$ReferenceCollection:isWellDefined()Z,0.13459499,0.02791598,1.00000000,208.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/CheckLevel:isOn()Z,0.09576561,0.88492289,1.00000000,6624.00000000,1.00000000,7769.00000000
com/google/javascript/rhino/jstype/JSTypeRegistry:createArrowType(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/jstype/ArrowType;,0.10342520,0.86198483,1.00000000,6460.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/ReferenceCollectingCallback:isBlockBoundary(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Z,0.20308295,0.05391074,1.00000000,396.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/AstValidator:validateHasSourceName(Lcom/google/javascript/rhino/Node;)V,0.09853504,0.50653401,1.00000000,3788.00000000,1.00000000,7769.00000000
com/google/javascript/rhino/Node:createProp(ILjava/lang/Object;Lcom/google/javascript/rhino/Node$PropListItem;)Lcom/google/javascript/rhino/Node$PropListItem;,0.09119241,0.94171659,1.00000000,7055.00000000,1.00000000,7769.00000000
com/google/javascript/rhino/TokenStream:isJSIdentifier(Ljava/lang/String;)Z,0.13895240,0.08141510,1.00000000,608.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/parsing/IRFactory:transformNameAsString(Lcom/google/javascript/rhino/head/ast/Name;)Lcom/google/javascript/rhino/Node;,0.10351779,0.62016388,1.00000000,4641.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/AstValidator:validateExprStmt(Lcom/google/javascript/rhino/Node;)V,0.18670990,0.44563804,1.00000000,3327.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/parsing/IRFactory:createTemplateNode()Lcom/google/javascript/rhino/Node;,0.09902984,0.88987173,1.00000000,6664.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/JsAst:<init>(Lcom/google/javascript/jscomp/SourceFile;)V,0.09667726,0.87364699,1.00000000,6541.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/MakeDeclaredNamesUnique:<init>()V,0.09897152,0.24526495,1.00000000,1835.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/Tracer:stop()J,0.09084211,0.53933862,1.00000000,4034.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/Scope:getVars()Ljava/util/Iterator;,0.08890801,0.46524636,1.00000000,3490.00000000,1.00000000,7769.00000000
com/google/javascript/rhino/Node:isScript()Z,0.26044970,0.87802284,1.00000000,6563.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/NodeTraversal:popScope()V,0.13535704,0.87449484,1.00000000,6545.00000000,1.00000000,7769.00000000
com/google/javascript/jscomp/MakeDeclaredNamesUnique$ContextualRenamer:getReplacementName(Ljava/lang/String;)Ljava/lang/String;,0.08444496,0.24532835,1.00000000,1837.00000000,1.00000000,7769.00000000
com/google/javascript/rhino/jstype/JSTypeRegistry:resetForTypeCheck()V,0.10962223,0.86234361,1.00000000,6460.00000000,1.00000000,7769.00000000
com/google/javascript/rhino/jstype/FunctionType:setPrototypeNoCheck(Lcom/google/javascript/rhino/jstype/ObjectType;Lcom/google/javascript/rhino/Node;)Z,0.16311042,0.86583257,1.00000000,6460.00000000,1.00000000,7769.00000000
