,failing_score,passing_score,#failing,#passing,#TTLfailing,#TTLpassing
com/google/javascript/jscomp/JsAst:getAstRoot(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/rhino/Node;,0.08893744,0.87157854,2.00000000,6059.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/parsing/IRFactory$TransformDispatcher:processObjectLiteral(Lcom/google/javascript/rhino/head/ast/ObjectLiteral;)Lcom/google/javascript/rhino/Node;,0.13073584,0.24166494,2.00000000,1665.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/TypeValidator:mismatch(Ljava/lang/String;Lcom/google/javascript/rhino/Node;Ljava/lang/String;Lcom/google/javascript/rhino/jstype/JSType;Lcom/google/javascript/rhino/jstype/JSType;)V,0.06166004,0.08816310,1.00000000,614.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/TypedScopeCreator$AbstractScopeBuilder:attachLiteralTypes(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;)V,0.16933734,0.35847258,2.00000000,2489.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/JSDocInfo:getFlag(I)Z,0.12036411,0.49595917,2.00000000,3444.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/parsing/IRFactory:newStringNode(ILjava/lang/String;)Lcom/google/javascript/rhino/Node;,0.08754228,0.88119749,2.00000000,6126.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/BasicErrorManager:getErrorCount()I,0.07941596,0.87444219,2.00000000,6082.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/LinkedFlowScope$FlowScopeJoinOp:<init>()V,0.08436817,0.35802130,2.00000000,2495.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/jstype/JSTypeRegistry:createArrowType(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/jstype/ArrowType;,0.08877100,0.91308657,2.00000000,6350.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/graph/LinkedDirectedGraph$LinkedDirectedGraphNode:getValue()Ljava/lang/Object;,0.09882329,0.47116384,2.00000000,3276.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/Scope:<init>(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/jstype/ObjectType;)V,0.08106814,0.35746949,2.00000000,2492.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/Node:createProp(ILjava/lang/Object;Lcom/google/javascript/rhino/Node$PropListItem;)Lcom/google/javascript/rhino/Node$PropListItem;,0.08386585,0.94357907,2.00000000,6562.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/jstype/JSTypeRegistry:setTemplateTypeName(Ljava/lang/String;)V,0.08413863,0.32859420,2.00000000,2290.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/JSDocInfoBuilder:<init>(Z)V,0.08353408,0.49916313,2.00000000,3476.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/Node:setOptionalArg(Z)V,0.10201951,0.91333989,2.00000000,6350.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/JsAst:<init>(Lcom/google/javascript/jscomp/SourceFile;)V,0.08737184,0.87380460,2.00000000,6073.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/jstype/ObjectType$Property:setNode(Lcom/google/javascript/rhino/Node;)V,0.09664098,0.31196418,2.00000000,2175.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/NodeTraversal$AbstractShallowStatementCallback:<init>()V,0.08173905,0.35882241,2.00000000,2501.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/Node:isScript()Z,0.13002281,0.87799955,2.00000000,6095.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/InferJSDocInfo:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V,0.34100494,0.33461572,2.00000000,2298.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/NodeTraversal:popScope()V,0.10685411,0.87498922,2.00000000,6079.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/Node:getFirstChild()Lcom/google/javascript/rhino/Node;,1.00000000,0.95509182,2.00000000,6531.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/jstype/VoidType:getDisplayName()Ljava/lang/String;,0.07926347,0.91274384,2.00000000,6350.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/CodingConvention$AssertionFunctionSpec:<init>(Ljava/lang/String;)V,0.08319191,0.34845507,2.00000000,2428.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/DataFlowAnalysis$BranchedForwardDataFlowAnalysis:joinInputs(Lcom/google/javascript/jscomp/graph/DiGraph$DiGraphNode;)V,0.10701452,0.35818453,2.00000000,2490.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/JSDocInfo:getSuppressions()Ljava/util/Set;,0.09723882,0.08100160,2.00000000,563.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/jstype/FunctionType:getMaxArguments()I,0.12255853,0.15405619,2.00000000,1067.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/DiagnosticGroups:<init>()V,0.07950109,0.88481183,2.00000000,6154.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/jstype/PrototypeObjectType:getPropertiesCount()I,0.12487518,0.36793272,2.00000000,2555.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/jstype/FunctionType:setInstanceType(Lcom/google/javascript/rhino/jstype/ObjectType;)V,0.08957144,0.91308695,2.00000000,6350.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/TypeInferencePass:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/javascript/jscomp/ReverseAbstractInterpreter;Lcom/google/javascript/jscomp/Scope;Lcom/google/javascript/jscomp/ScopeCreator;)V,0.09652461,0.34610358,2.00000000,2408.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/TypeInference:ensurePropertyDeclared(Lcom/google/javascript/rhino/Node;)V,0.22765968,0.27942033,2.00000000,1939.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/parsing/IRFactory:access$1400(Lcom/google/javascript/jscomp/parsing/IRFactory;I)I,0.08939807,0.80323015,2.00000000,5585.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/Compiler:acceptConstKeyword()Z,0.07993015,0.87090284,2.00000000,6059.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/JSDocInfo:getType()Lcom/google/javascript/rhino/JSTypeExpression;,0.17827140,0.30236364,2.00000000,2104.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/Compiler:addChangeHandler(Lcom/google/javascript/jscomp/CodeChangeHandler;)V,0.08026939,0.88677938,2.00000000,6166.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/LinkedFlowScope:createChildFlowScope()Lcom/google/javascript/jscomp/FlowScope;,0.12554619,0.36572336,2.00000000,2545.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/TypeInference:getNativeType(Lcom/google/javascript/rhino/jstype/JSTypeNative;)Lcom/google/javascript/rhino/jstype/JSType;,0.23897999,0.34036364,2.00000000,2363.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/jstype/VoidType:<init>(Lcom/google/javascript/rhino/jstype/JSTypeRegistry;)V,0.08920551,0.91308695,2.00000000,6350.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/jstype/NullType:<init>(Lcom/google/javascript/rhino/jstype/JSTypeRegistry;)V,0.08920551,0.91308695,2.00000000,6350.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/Node:setStaticSourceFile(Lcom/google/javascript/rhino/jstype/StaticSourceFile;)V,0.09716027,0.94609385,2.00000000,6576.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/parsing/IRFactory:access$1800(Lcom/google/javascript/jscomp/parsing/IRFactory;)Lcom/google/javascript/jscomp/parsing/Config;,0.08535630,0.64004999,2.00000000,4452.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/TypeInferencePass$TypeInferringCallback:exitScope(Lcom/google/javascript/jscomp/NodeTraversal;)V,0.10243493,0.34639610,2.00000000,2408.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/jstype/NullType:restrictByNotNullOrUndefined()Lcom/google/javascript/rhino/jstype/JSType;,0.40800798,0.30526159,2.00000000,2112.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/NodeUtil:getBestLValueName(Lcom/google/javascript/rhino/Node;)Ljava/lang/String;,0.22143461,0.36270961,2.00000000,2518.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/jstype/ArrowType:hashCode()I,0.18768717,0.30646084,2.00000000,2121.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/Node:isCatch()Z,0.12221375,0.24587353,2.00000000,1707.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/DataFlowAnalysis$BranchedFlowState:<init>(Lcom/google/javascript/jscomp/LatticeElement;Ljava/util/List;Lcom/google/javascript/jscomp/DataFlowAnalysis$1;)V,0.08373278,0.35729931,2.00000000,2490.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/jstype/ObjectType$Property:setJSDocInfo(Lcom/google/javascript/rhino/JSDocInfo;)V,0.08508885,0.29140549,2.00000000,2030.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/FunctionTypeBuilder:isVarArgsParameter(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/JSDocInfo;)Z,0.12876935,0.29799159,2.00000000,2072.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/parsing/IRFactory:access$1200(Lcom/google/javascript/jscomp/parsing/IRFactory;ILcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node;,0.08899501,0.73259696,2.00000000,5094.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/jstype/FunctionType:isInterface()Z,0.26903803,0.91535236,2.00000000,6351.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/TypeInference:traverseObjectLiteral(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/FlowScope;)Lcom/google/javascript/jscomp/FlowScope;,0.36055492,0.10010503,2.00000000,666.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/ControlFlowAnalysis:prioritizeFromEntryNode(Lcom/google/javascript/jscomp/graph/DiGraph$DiGraphNode;)V,0.08574257,0.40624254,2.00000000,2829.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/JSDocInfo$LazilyInitializedInfo:<init>()V,0.07941574,0.33808908,2.00000000,2356.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/LinkedFlowScope:createEntryLattice(Lcom/google/javascript/jscomp/Scope;)Lcom/google/javascript/jscomp/LinkedFlowScope;,0.08804642,0.36534281,2.00000000,2545.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/NodeUtil:isStatementBlock(Lcom/google/javascript/rhino/Node;)Z,0.10147165,0.72362719,2.00000000,5031.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/JSDocInfo$LazilyInitializedInfo:<init>(Lcom/google/javascript/rhino/JSDocInfo$1;)V,0.08293051,0.33821501,2.00000000,2356.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/parsing/JsDocTokenStream:isJSDocString(I)Z,0.08400996,0.38860230,2.00000000,2706.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/jstype/InstanceObjectType:hasReferenceName()Z,0.12730885,0.91443807,2.00000000,6351.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/PrepareAst$PrepareAnnotations:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;)V,0.08386355,0.86950249,2.00000000,6047.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/Node$ObjectPropListItem:getObjectValue()Ljava/lang/Object;,0.08053287,0.92843852,2.00000000,6459.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/JSDocInfo:getReturnType()Lcom/google/javascript/rhino/JSTypeExpression;,0.09068300,0.29823485,2.00000000,2077.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/TypeValidator:expectNotNullOrUndefined(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/jstype/JSType;Ljava/lang/String;Lcom/google/javascript/rhino/jstype/JSType;)Z,0.23739794,0.30933132,2.00000000,2134.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/jstype/JSTypeRegistry:createFunctionType(Lcom/google/javascript/rhino/jstype/JSType;Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/jstype/FunctionType;,0.09741543,0.91410458,2.00000000,6350.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/Node:isQualifiedName()Z,0.26863115,0.39083991,2.00000000,2711.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/JSSourceFile:<init>(Lcom/google/javascript/jscomp/SourceFile;)V,0.08738879,0.87407789,2.00000000,6075.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/DataFlowAnalysis$BranchedForwardDataFlowAnalysis:isForward()Z,0.08420687,0.35734531,2.00000000,2490.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/jstype/UnionTypeBuilder:<init>(Lcom/google/javascript/rhino/jstype/JSTypeRegistry;)V,0.12940999,0.91368734,2.00000000,6351.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/Node:isParamList()Z,0.13686012,0.64470972,2.00000000,4483.00000000,2.00000000,7227.00000000
com/google/javascript/rhino/JSDocInfo:addMarker()Lcom/google/javascript/rhino/JSDocInfo$Marker;,0.08291793,0.48953063,2.00000000,3409.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/TypedScopeCreator$AbstractScopeBuilder:getObjectSlot(Ljava/lang/String;)Lcom/google/javascript/rhino/jstype/ObjectType;,0.19635354,0.31121644,2.00000000,2161.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/parsing/JsDocInfoParser:getSourceName()Ljava/lang/String;,0.08410390,0.38650338,2.00000000,2691.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/TypedScopeCreator$FirstOrderFunctionAnalyzer:enterScope(Lcom/google/javascript/jscomp/NodeTraversal;)V,0.09547975,0.35797060,2.00000000,2489.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/NodeTraversal:getInputId()Lcom/google/javascript/rhino/InputId;,0.09830230,0.35715608,2.00000000,2489.00000000,2.00000000,7227.00000000
com/google/javascript/jscomp/PrepareAst$PrepareAnnotations:annotateCalls(Lcom/google/javascript/rhino/Node;)V,0.16944543,0.45808202,2.00000000,3171.00000000,2.00000000,7227.00000000
