,failing_score,passing_score,#failing,#passing,#TTLfailing,#TTLpassing
com/google/javascript/jscomp/JsAst:getAstRoot(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/rhino/Node;,0.10714422,0.86521840,1.00000000,5971.00000000,2.00000000,7197.00000000
com/google/javascript/jscomp/Compiler:getGlobalVarReferences()Lcom/google/javascript/jscomp/ReferenceCollectingCallback$ReferenceMap;,0.09057412,0.04332047,1.00000000,298.00000000,2.00000000,7197.00000000
com/google/javascript/jscomp/SourceFile:isExtern()Z,0.08860874,0.39018196,1.00000000,2698.00000000,2.00000000,7197.00000000
com/google/javascript/jscomp/Scope:getVar(Ljava/lang/String;)Lcom/google/javascript/jscomp/Scope$Var;,0.15221348,0.65463454,1.00000000,4508.00000000,2.00000000,7197.00000000
com/google/javascript/jscomp/BasicErrorManager:getErrorCount()I,0.08795738,0.86844389,1.00000000,5996.00000000,2.00000000,7197.00000000
com/google/javascript/jscomp/CodeGenerator:add(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/CodeGenerator$Context;)V,0.51992720,0.50989397,1.00000000,3453.00000000,2.00000000,7197.00000000
com/google/javascript/jscomp/NodeTraversal:traverseRoots([Lcom/google/javascript/rhino/Node;)V,0.11397238,0.21595604,1.00000000,1489.00000000,2.00000000,7197.00000000
com/google/javascript/jscomp/ReferenceCollectingCallback:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V,0.23051320,0.04672930,1.00000000,311.00000000,2.00000000,7197.00000000
com/google/javascript/jscomp/DefaultCodingConvention:isExported(Ljava/lang/String;)Z,0.09946781,0.17188579,1.00000000,1185.00000000,2.00000000,7197.00000000
com/google/javascript/jscomp/parsing/IRFactory:transformTree(Lcom/google/javascript/jscomp/mozilla/rhino/ast/AstRoot;Lcom/google/javascript/rhino/jstype/StaticSourceFile;Ljava/lang/String;Lcom/google/javascript/jscomp/parsing/Config;Lcom/google/javascript/jscomp/mozilla/rhino/ErrorReporter;)Lcom/google/javascript/rhino/Node;,0.10812100,0.89149048,1.00000000,6150.00000000,2.00000000,7197.00000000
