,failing_score,passing_score,#failing,#passing,#TTLfailing,#TTLpassing
com/google/javascript/jscomp/JsAst:getAstRoot(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/rhino/Node;,0.13497304,0.87209641,1.00000000,6362.00000000,1.00000000,7571.00000000
com/google/javascript/jscomp/CodeGenerator:add(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/CodeGenerator$Context;)V,1.00000000,0.52314353,1.00000000,3718.00000000,1.00000000,7571.00000000
com/google/javascript/jscomp/BasicErrorManager:getErrorCount()I,0.11025341,0.87536957,1.00000000,6390.00000000,1.00000000,7571.00000000
com/google/javascript/rhino/IR:block([Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node;,0.15227322,0.53995755,1.00000000,3930.00000000,1.00000000,7571.00000000
com/google/javascript/jscomp/AstValidator:validateCall(Lcom/google/javascript/rhino/Node;)V,0.24179874,0.30535220,1.00000000,2215.00000000,1.00000000,7571.00000000
com/google/javascript/jscomp/parsing/IRFactory:newStringNode(ILjava/lang/String;)Lcom/google/javascript/rhino/Node;,0.12827055,0.88153455,1.00000000,6431.00000000,1.00000000,7571.00000000
com/google/javascript/jscomp/CodePrinter$Builder:setTagAsStrict(Z)Lcom/google/javascript/jscomp/CodePrinter$Builder;,0.11493255,0.49177426,1.00000000,3587.00000000,1.00000000,7571.00000000
com/google/javascript/jscomp/CodePrinter$Builder:setLineBreak(Z)Lcom/google/javascript/jscomp/CodePrinter$Builder;,0.11493255,0.50149980,1.00000000,3658.00000000,1.00000000,7571.00000000
com/google/javascript/jscomp/CheckLevel:isOn()Z,0.12720941,0.88550738,1.00000000,6457.00000000,1.00000000,7571.00000000
com/google/javascript/rhino/jstype/JSTypeRegistry:createArrowType(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/jstype/ArrowType;,0.13887065,0.91502443,1.00000000,6678.00000000,1.00000000,7571.00000000
com/google/javascript/jscomp/AstValidator:validateHasSourceName(Lcom/google/javascript/rhino/Node;)V,0.12827313,0.50756075,1.00000000,3698.00000000,1.00000000,7571.00000000
com/google/javascript/rhino/Node:createProp(ILjava/lang/Object;Lcom/google/javascript/rhino/Node$PropListItem;)Lcom/google/javascript/rhino/Node$PropListItem;,0.12140958,0.94180433,1.00000000,6873.00000000,1.00000000,7571.00000000
com/google/javascript/jscomp/CodeGenerator:add(Lcom/google/javascript/rhino/Node;)V,0.24083808,0.51019802,1.00000000,3718.00000000,1.00000000,7571.00000000
com/google/javascript/rhino/IR:string(Ljava/lang/String;)Lcom/google/javascript/rhino/Node;,0.16078405,0.19897172,1.00000000,1448.00000000,1.00000000,7571.00000000
