,failing_score,passing_score,#failing,#passing,#TTLfailing,#TTLpassing
com/google/javascript/jscomp/JsAst:getAstRoot(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/rhino/Node;,0.06962252,0.87233852,1.00000000,6390.00000000,1.00000000,7601.00000000
com/google/javascript/jscomp/CodeGenerator:add(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/CodeGenerator$Context;)V,0.77687355,0.52295637,1.00000000,3732.00000000,1.00000000,7601.00000000
com/google/javascript/jscomp/BasicErrorManager:getErrorCount()I,0.05817363,0.87559467,1.00000000,6418.00000000,1.00000000,7601.00000000
com/google/javascript/rhino/Node$AncestorIterable$1:hasNext()Z,0.06311747,0.09120824,1.00000000,668.00000000,1.00000000,7601.00000000
com/google/javascript/rhino/Node:isNoSideEffectsCall()Z,0.08209078,0.11189023,1.00000000,818.00000000,1.00000000,7601.00000000
com/google/javascript/rhino/JSDocInfo:getFlag(I)Z,0.07867830,0.51588609,1.00000000,3773.00000000,1.00000000,7601.00000000
com/google/javascript/jscomp/FlowSensitiveInlineVariables$Candidate$3:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V,0.27725762,0.00812263,1.00000000,43.00000000,1.00000000,7601.00000000
com/google/javascript/jscomp/NodeTraversal:traverseRoots([Lcom/google/javascript/rhino/Node;)V,0.08212371,0.23999583,1.00000000,1755.00000000,1.00000000,7601.00000000
com/google/javascript/jscomp/MakeDeclaredNamesUnique:findDeclaredNames(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/MakeDeclaredNamesUnique$Renamer;)V,0.28316662,0.24486587,1.00000000,1777.00000000,1.00000000,7601.00000000
com/google/javascript/rhino/IR:block([Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node;,0.07750786,0.53965011,1.00000000,3944.00000000,1.00000000,7601.00000000
com/google/javascript/jscomp/AstValidator:validateCall(Lcom/google/javascript/rhino/Node;)V,0.19489246,0.30546840,1.00000000,2225.00000000,1.00000000,7601.00000000
com/google/javascript/rhino/JSDocInfo:setNoSideEffects(Z)V,0.06207338,0.07319510,1.00000000,534.00000000,1.00000000,7601.00000000
com/google/javascript/jscomp/MakeDeclaredNamesUnique$ContextualRenamer:incrementNameCount(Ljava/lang/String;)I,0.06017447,0.14357424,1.00000000,1051.00000000,1.00000000,7601.00000000
com/google/javascript/rhino/Node$StringNode:getString()Ljava/lang/String;,0.52566673,0.90392912,1.00000000,6555.00000000,1.00000000,7601.00000000
